Año,Fecha,Home,Resultado,Away
2023,"Mié., 30 de Ago.",Toluca,1 - 0,Monterrey
2023,"Sáb., 26 de Ago.",Atlas,0 - 0,Toluca
2023,"Vie., 18 de Ago.",Pumas UNAM,1 - 1,Toluca
2023,"Mar., 8 de Ago.",Toluca,2 - 2,Minnesota United FC
2023,"Vie., 4 de Ago.",Toluca,4 - 1,Sporting Kansas City
2023,"Lun., 31 de Jul.",Toluca,4 - 1,Colorado Rapids
2023,"Jue., 27 de Jul.",Nashville SC,3 - 4,Toluca
2023,"Dom., 16 de Jul.",Toluca,2 - 4,FC Juarez
2023,"Sáb., 8 de Jul.",Cruz Azul,0 - 2,Toluca
2023,"Dom., 2 de Jul.",Toluca,0 - 0,Necaxa
2023,"Mié., 15 de Feb.",Atlanta United FC,3 - 4,Toluca
